AccX_var,AccY_var,AccZ_var,GyrX_var,GyrY_var,GyrZ_var,AccX_ave,AccY_ave,AccZ_ave,GyrX_ave,GyrY_ave,GyrZ_ave,AccX_max,AccY_max,AccZ_max,GyrX_max,GyrY_max,GyrZ_max,Teknik
37.810394736842106,16.865368421052633,11.21607894736842,0.9750263157894736,1.238394736842105,5.864105263157895,6.475,1.2700000000000002,3.464999999999999,0.085,0.305,0.31,19.0,9.4,8.1,2.5,2.4,4.4,Salah
38.84252631578948,10.43986842105263,40.19515789473684,3.0221052631578957,1.813263157894737,5.758526315789474,5.36,2.5249999999999995,1.3400000000000003,-0.1,-0.12,0.0200000000000001,17.0,9.6,9.1,2.8,2.8,4.4,Salah
30.10604575163399,23.57411764705882,7.637418300653595,1.715588235294118,0.9291830065359478,6.852810457516341,5.238888888888891,2.4666666666666663,4.772222222222222,0.25,0.0722222222222222,-0.3888888888888889,13.0,10.2,9.8,4.4,2.1,4.4,Salah
10.724333333333334,7.651333333333333,10.653476190476193,2.333285714285714,0.5194761904761904,3.765571428571428,8.133333333333333,0.3666666666666666,3.4380952380952388,-0.0857142857142857,-0.1952380952380952,-0.0428571428571428,13.6,5.6,8.9,3.4,0.9,3.6,Salah
48.02134210526316,21.47368421052632,47.402394736842105,4.015157894736842,2.714184210526316,5.001552631578948,5.515,1.3,1.035,-0.04,-0.105,-0.255,16.0,11.0,9.9,4.4,2.1,4.4,Salah
36.42897233201581,22.745415019762845,19.033833992094863,1.769486166007905,1.4575494071146244,7.213596837944665,6.747826086956521,1.6782608695652173,1.926086956521739,0.2304347826086955,0.2130434782608695,0.0782608695652173,18.6,11.2,8.1,3.1,2.4,4.4,Salah
13.7181,28.6775,7.135833333333333,1.2246,1.5786000000000002,6.362733333333334,7.531999999999999,0.2599999999999999,2.6000000000000005,-0.072,0.212,-0.0239999999999999,12.6,11.7,7.4,2.1,3.0,4.4,Salah
20.58642105263158,33.060421052631575,45.64892105263158,3.6792368421052632,1.4908157894736842,2.348921052631579,6.069999999999999,2.46,2.8550000000000004,0.1849999999999999,-0.165,0.005,12.0,11.0,14.1,4.2,2.3,4.1,Salah
17.30051724137931,19.01315270935961,13.420049261083744,2.3706403940886704,0.8263546798029556,1.7242364532019705,6.813793103448275,0.4620689655172414,5.317241379310345,0.0724137931034482,-0.0275862068965517,-0.2068965517241379,19.6,7.8,13.8,4.4,2.5,2.2,Salah
17.1637908496732,41.15176470588235,23.78565359477124,1.0697058823529413,2.794673202614379,8.260000000000002,6.944444444444445,-1.6,2.227777777777778,-0.0166666666666666,-0.0055555555555555,0.3333333333333333,13.5,10.9,18.4,1.6,2.3,4.4,Salah
10.35655844155844,12.655844155844155,26.98253246753247,2.003463203463203,0.4814718614718615,1.7235714285714283,6.531818181818182,3.4181818181818184,2.859090909090909,-0.0181818181818181,-0.1363636363636363,-0.05,11.4,11.0,8.6,2.4,2.0,3.2,Salah
41.27681818181818,22.979329004329003,60.980714285714285,3.471168831168831,0.8938528138528139,4.216709956709956,5.24090909090909,1.1136363636363638,1.5500000000000005,0.2454545454545454,-0.0363636363636363,-0.0363636363636362,11.2,7.0,13.8,3.3,1.3,4.4,Salah
18.86161904761905,33.544142857142866,51.95590476190477,3.259142857142857,1.718904761904762,2.6163333333333334,6.619047619047619,1.0714285714285712,3.4904761904761905,0.0714285714285714,-0.1761904761904762,0.0666666666666666,13.3,12.5,19.6,3.2,4.1,3.9,Salah
